C vs ms_10,C vs closed,ms_1 vs closed
-10.270490646362305,0.41919194756434175,1.596328130349376
-10.385221481323242,0.18489610253260347,1.4977949768154404
-10.45973014831543,0.3078700214473984,1.377956262215831
-10.329930305480957,0.21646510659144136,1.366281858071544
-10.569957733154297,0.21754275856898042,1.4648855835048935
-10.249284744262695,0.2859781890957138,1.412652364358165
-10.461318016052246,0.20714413224146577,1.3595045715420029
-10.415502548217773,0.2449000984279892,1.4343117385952255
-10.230733871459961,0.36389195023462984,1.5105279594509384
-9.907575607299805,0.22936259804651948,1.4470819145290634
-9.965641021728516,0.18693481980250093,1.3755339294521591
-10.245774269104004,0.35931765137598726,1.5496596008388779
-10.129544258117676,0.13030206261561128,1.4821232467739365
-10.549186706542969,0.15059124527857515,1.4516528755275986
-10.321924209594727,0.21732198296473237,1.3663891464321396
-10.296224594116211,0.3445728927700302,1.4831131607143662
-10.365997314453125,0.189798942193248,1.4921358734218857
-10.290196418762207,0.30044828949854585,1.5147727638332626
-10.427937507629395,0.25683890877649995,1.5153130203335068
-10.211285591125488,0.19624053536341401,1.4374169021694443
-10.10737133026123,0.3151372581569931,1.4480107933132431
-10.069438934326172,0.20944010315821382,1.297373166665294
-10.533451080322266,0.3455728202907822,1.4945725113003037
-10.444951057434082,0.34929405747339937,1.446897855385997
-10.036348342895508,0.2508987098781845,1.5029643684475205
-10.495176315307617,0.26303683815882417,1.4755619674770615
-10.374073028564453,0.3338423877804062,1.4235123306362412
-9.946991920471191,0.09955369530604097,1.3850430160610459
-10.138956069946289,0.35187040863917085,1.4457162529079697
-10.559162139892578,0.18501626549647066,1.4956926017849228
-10.293516159057617,0.1622565895168564,1.3128160148708603
-10.743247032165527,0.23828708229944917,1.3074916511623642
-10.051077842712402,0.10468446312830659,1.2679203659145615
-10.018404960632324,0.11842381058619234,1.5289343505947373
-10.340030670166016,0.2846003681270859,1.4467648178188584
-10.549555778503418,0.35448180733607026,1.420472016915538
-10.484347343444824,0.29577957688257905,1.5005811363308212
-9.842438697814941,0.1912652164547226,1.4688309341518662
-10.246551513671875,0.23053084908411714,1.4409550338833115
-10.612180709838867,0.3319388538448593,1.3577788978664658
-10.274565696716309,0.31461059151575776,1.3589213996975205
-10.449616432189941,0.17052303849146577,1.3762510925380966
-10.25096321105957,0.3710585743038437,1.3830822616665146
-10.569900512695312,0.3217226177303574,1.3999856620876572
-10.524911880493164,0.11346279679224702,1.3646658569423935
-10.653166770935059,0.2116969734279892,1.4875343948452255
-10.210025787353516,0.17644392548487398,1.442393174752452
-10.5711088180542,0.22619997559473726,1.261289945229747
-10.53110408782959,0.3681279331295273,1.5889786392299912
-10.088788986206055,0.2275041252224228,1.455517640694835
