t x y z
1.000000014901161194e-01 1.392994117736816406e+01 9.076005249023437500e+02 1.694502343750000000e+04
6.000000238418579102e-01 8.581851005554199219e+00 3.520433959960937500e+02 4.151311523437500000e+03
1.000000014901161194e-01 1.393900966644287109e+01 9.059055175781250000e+02 1.692294140625000000e+04
8.000000715255737305e-01 1.261118412017822266e+01 4.174482116699218750e+02 7.782213867187500000e+03
2.000000029802322388e-01 7.421670913696289062e+00 4.548429870605468750e+02 4.538822265625000000e+03
8.000000715255737305e-01 8.761590003967285156e+00 2.829982910156250000e+02 3.498152343750000000e+03
5.000000000000000000e-01 1.080649089813232422e+01 4.940899658203125000e+02 7.325608398437500000e+03
1.000000119209289551e+00 1.061804771423339844e+01 2.601010742187500000e+02 4.502823242187500000e+03
1.000000119209289551e+00 1.455051422119140625e+01 3.696419067382812500e+02 8.735716796875000000e+03
7.000000476837158203e-01 1.170594406127929688e+01 4.333151855468750000e+02 7.287407226562500000e+03
6.000000238418579102e-01 7.517864704132080078e+00 3.072746582031250000e+02 3.236426757812500000e+03
4.000000059604644775e-01 9.675186157226562500e+00 4.884016113281250000e+02 6.446710937500000000e+03
8.000000715255737305e-01 1.091976833343505859e+01 3.581335449218750000e+02 5.825424804687500000e+03
6.000000238418579102e-01 7.691517829895019531e+00 3.145812683105468750e+02 3.353881835937500000e+03
0.000000000000000000e+00 1.028461456298828125e+00 6.863657836914062500e+02 6.293024414062500000e+03
0.000000000000000000e+00 0.000000000000000000e+00 1.153279296875000000e+03 1.706052734375000000e+04
9.000000953674316406e-01 1.635782051086425781e+01 4.827499084472656250e+02 1.235973730468750000e+04
8.000000715255737305e-01 1.640016746520996094e+01 5.479926147460937500e+02 1.348019628906250000e+04
7.000000476837158203e-01 1.225615787506103516e+01 4.544435424804687500e+02 7.940434570312500000e+03
5.000000000000000000e-01 7.476992130279541016e+00 3.413816223144531250e+02 3.403205078125000000e+03
2.000000029802322388e-01 1.281032371520996094e+01 7.700192260742187500e+02 1.306141503906250000e+04
5.000000000000000000e-01 1.102465534210205078e+01 5.040960998535156250e+02 7.599184570312500000e+03
8.000000715255737305e-01 1.547385501861572266e+01 5.157413940429687500e+02 1.187491699218750000e+04
1.000000119209289551e+00 1.179373741149902344e+01 2.938527221679687500e+02 5.734246093750000000e+03
4.000000059604644775e-01 1.541730308532714844e+01 7.739335937500000000e+02 1.603383886718750000e+04
5.000000000000000000e-01 1.273506259918212891e+01 5.835327148437500000e+02 9.890094726562500000e+03
7.000000476837158203e-01 1.637837219238281250e+01 6.127377319335937500e+02 1.451290917968750000e+04
3.000000119209289551e-01 6.524771690368652344e+00 3.661009521484375000e+02 3.272855468750000000e+03
2.000000029802322388e-01 1.064324569702148438e+01 6.426340942382812500e+02 8.896948242187500000e+03
2.000000029802322388e-01 6.483235836029052734e+00 4.007271728515625000e+02 3.404659179687500000e+03
5.000000000000000000e-01 1.376814651489257812e+01 6.299790649414062500e+02 1.182172753906250000e+04
5.000000000000000000e-01 1.580465602874755859e+01 7.233317871093750000e+02 1.565372558593750000e+04
9.000000953674316406e-01 1.140400981903076172e+01 3.275340881347656250e+02 5.833461914062500000e+03
3.000000119209289551e-01 1.039937305450439453e+01 5.769033203125000000e+02 7.976318359375000000e+03
9.000000953674316406e-01 1.491136932373046875e+01 4.383098754882812500e+02 9.932920898437500000e+03
1.000000014901161194e-01 7.126805305480957031e+00 4.789239501953125000e+02 4.576549804687500000e+03
0.000000000000000000e+00 2.213954448699951172e+00 6.324846191406250000e+02 5.527474609375000000e+03
3.000000119209289551e-01 6.712168216705322266e+00 3.778533020019531250e+02 3.377229492187500000e+03
4.000000059604644775e-01 8.844141006469726562e+00 4.476912536621093750e+02 5.381251953125000000e+03
5.000000000000000000e-01 1.695114517211914062e+01 7.759160156250000000e+02 1.781141406250000000e+04
8.000000715255737305e-01 1.291311740875244141e+01 4.284179687500000000e+02 8.134951171875000000e+03
0.000000000000000000e+00 2.194669693708419800e-01 1.178889160156250000e+03 1.796314062500000000e+04
1.000000119209289551e+00 1.429109191894531250e+01 3.624156799316406250e+02 8.452418945312500000e+03
5.000000000000000000e-01 1.008852863311767578e+01 4.623521423339843750e+02 6.436004882812500000e+03
2.000000029802322388e-01 1.170017910003662109e+01 7.036277465820312500e+02 1.076341601562500000e+04
7.000000476837158203e-01 1.052402591705322266e+01 3.879290771484375000e+02 5.884631835937500000e+03
7.000000476837158203e-01 1.645886802673339844e+01 6.158286132812500000e+02 1.465629589843750000e+04
6.000000238418579102e-01 1.725283813476562500e+01 7.186365966796875000e+02 1.723301171875000000e+04
6.000000238418579102e-01 1.087227439880371094e+01 4.496080017089843750e+02 6.856657226562500000e+03
9.000000953674316406e-01 1.041525840759277344e+01 2.981901855468750000e+02 4.769526367187500000e+03
1.000000014901161194e-01 1.646592140197753906e+01 1.063962402343750000e+03 2.279494140625000000e+04
2.000000029802322388e-01 1.627187347412109375e+01 9.698640747070312500e+02 2.063602734375000000e+04
5.000000000000000000e-01 1.650756645202636719e+01 7.555712280273437500e+02 1.697660546875000000e+04
0.000000000000000000e+00 0.000000000000000000e+00 1.100761840820312500e+03 1.551151855468750000e+04
2.000000029802322388e-01 6.447853088378906250e+00 3.982178649902343750e+02 3.389811523437500000e+03
4.000000059604644775e-01 1.401416969299316406e+01 7.042902832031250000e+02 1.332181933593750000e+04
5.000000000000000000e-01 6.475607872009277344e+00 2.954528808593750000e+02 2.579005371093750000e+03
4.000000059604644775e-01 8.920977592468261719e+00 4.507756042480468750e+02 5.473651367187500000e+03
2.000000029802322388e-01 7.860090732574462891e+00 4.828471374511718750e+02 5.115381835937500000e+03
7.000000476837158203e-01 1.238695049285888672e+01 4.594658813476562500e+02 8.095665039062500000e+03
3.000000119209289551e-01 7.614100456237792969e+00 4.247871398925781250e+02 4.347825195312500000e+03
9.000000953674316406e-01 6.796247959136962891e+00 1.832762451171875000e+02 1.791050781250000000e+03
8.000000715255737305e-01 1.230221939086914062e+01 4.059899902343750000e+02 7.419167968750000000e+03
2.000000029802322388e-01 1.137776660919189453e+01 6.853741455078125000e+02 1.010988574218750000e+04
3.000000119209289551e-01 6.546309947967529297e+00 3.672613220214843750e+02 3.289636718750000000e+03
9.000000953674316406e-01 7.887018203735351562e+00 2.174255676269531250e+02 2.575255859375000000e+03
3.000000119209289551e-01 1.521207427978515625e+01 8.347301635742187500e+02 1.678155078125000000e+04
2.000000029802322388e-01 1.409471607208251953e+01 8.428641357421875000e+02 1.575190527343750000e+04
1.000000119209289551e+00 1.082115268707275391e+01 2.657586669921875000e+02 4.704181640625000000e+03
2.000000029802322388e-01 1.155871963500976562e+01 6.954023437500000000e+02 1.047375878906250000e+04
7.000000476837158203e-01 8.759990692138671875e+00 3.201896057128906250e+02 3.913923828125000000e+03
4.000000059604644775e-01 5.780026435852050781e+00 2.941007080078125000e+02 2.206166503906250000e+03
7.000000476837158203e-01 1.103982734680175781e+01 4.077359619140625000e+02 6.496816406250000000e+03
6.000000238418579102e-01 7.252668380737304688e+00 2.979896545410156250e+02 3.004803710937500000e+03
5.000000000000000000e-01 1.232940959930419922e+01 5.643112792968750000e+02 9.230965820312500000e+03
5.000000000000000000e-01 1.052480125427246094e+01 4.811702270507812500e+02 6.972371093750000000e+03
7.000000476837158203e-01 1.324210262298583984e+01 4.923041992187500000e+02 9.110615234375000000e+03
8.000000715255737305e-01 8.162550926208496094e+00 2.611852416992187500e+02 3.125819335937500000e+03
4.000000059604644775e-01 8.058782577514648438e+00 4.075584106445312500e+02 4.432336914062500000e+03
9.000000953674316406e-01 1.002133750915527344e+01 2.852666320800781250e+02 4.365043945312500000e+03
4.000000059604644775e-01 1.253078842163085938e+01 6.302164916992187500e+02 1.044866503906250000e+04
5.000000000000000000e-01 1.503050327301025391e+01 6.878251342773437500e+02 1.419677246093750000e+04
7.000000476837158203e-01 9.833805084228515625e+00 3.614244689941406250e+02 5.065435546875000000e+03
1.000000119209289551e+00 1.606101036071777344e+01 4.117175292968750000e+02 1.083969726562500000e+04
3.000000119209289551e-01 1.235694026947021484e+01 6.820801391601562500e+02 1.111553613281250000e+04
1.000000014901161194e-01 6.971457004547119141e+00 4.691922607421875000e+02 4.371595703125000000e+03
1.000000119209289551e+00 1.692411231994628906e+01 4.369085998535156250e+02 1.226989355468750000e+04
6.000000238418579102e-01 1.049725246429443359e+01 4.341215515136718750e+02 6.401795898437500000e+03
2.000000029802322388e-01 7.984046936035156250e+00 4.875437622070312500e+02 5.264416992187500000e+03
5.000000000000000000e-01 1.185481262207031250e+01 5.423041992187500000e+02 8.641393554687500000e+03
2.000000029802322388e-01 7.523965835571289062e+00 4.607912597656250000e+02 4.670275390625000000e+03
1.000000119209289551e+00 1.038139438629150391e+01 2.552902526855468750e+02 4.282466796875000000e+03
3.000000119209289551e-01 1.062913990020751953e+01 5.872187500000000000e+02 8.262440429687500000e+03
0.000000000000000000e+00 4.996258318424224854e-01 1.467012817382812500e+03 2.670360937500000000e+04
7.000000476837158203e-01 1.389874649047851562e+01 5.175678100585937500e+02 1.009657714843750000e+04
8.000000715255737305e-01 7.373566150665283203e+00 2.337152709960937500e+02 2.480267578125000000e+03
8.000000715255737305e-01 1.463445758819580078e+01 4.865165100097656250e+02 1.042025976562500000e+04
7.000000476837158203e-01 1.471591472625732422e+01 5.488988647460937500e+02 1.155155371093750000e+04
0.000000000000000000e+00 2.429953813552856445e+00 7.223303833007812500e+02 7.214889648437500000e+03
1.000000014901161194e-01 1.507142448425292969e+01 9.766495971679687500e+02 1.955275390625000000e+04
0.000000000000000000e+00 2.323021888732910156e+00 1.010359375000000000e+03 1.400655371093750000e+04
6.000000238418579102e-01 1.459263515472412109e+01 6.055997314453125000e+02 1.234755761718750000e+04
5.000000000000000000e-01 1.154758358001708984e+01 5.280803222656250000e+02 8.254936523437500000e+03
3.000000119209289551e-01 1.225047492980957031e+01 6.749744873046875000e+02 1.088519042968750000e+04
2.000000029802322388e-01 7.243507862091064453e+00 4.458243103027343750e+02 4.320102539062500000e+03
7.000000476837158203e-01 1.369781494140625000e+01 5.098514709472656250e+02 9.738647460937500000e+03
1.000000119209289551e+00 7.651776313781738281e+00 1.777290954589843750e+02 2.146162109375000000e+03
5.000000000000000000e-01 9.681547164916992188e+00 4.424940490722656250e+02 5.914932617187500000e+03
6.000000238418579102e-01 1.417566585540771484e+01 5.893848876953125000e+02 1.160206933593750000e+04
4.000000059604644775e-01 1.083215141296386719e+01 5.456424560546875000e+02 7.935100585937500000e+03
8.000000715255737305e-01 9.083729743957519531e+00 2.937347412109375000e+02 3.831637695312500000e+03
1.000000014901161194e-01 8.700057983398437500e+00 5.774786376953125000e+02 6.800032226562500000e+03
8.000000715255737305e-01 1.329199886322021484e+01 4.412456665039062500e+02 8.569147460937500000e+03
5.000000000000000000e-01 1.217473220825195312e+01 5.588085327148437500e+02 9.059038085937500000e+03
2.000000029802322388e-01 5.762568473815917969e+00 3.583702697753906250e+02 2.769760742187500000e+03
4.000000059604644775e-01 1.069136047363281250e+01 5.386324462890625000e+02 7.753578125000000000e+03
9.000000953674316406e-01 1.045740604400634766e+01 2.997393798828125000e+02 4.811476562500000000e+03
1.000000014901161194e-01 1.055158996582031250e+01 6.934658203125000000e+02 9.381791992187500000e+03
2.000000029802322388e-01 1.630424499511718750e+01 9.713426513671875000e+02 2.070083203125000000e+04
2.000000029802322388e-01 1.453083610534667969e+01 8.696791992187500000e+02 1.675650390625000000e+04
2.000000029802322388e-01 6.438604354858398438e+00 3.989509887695312500e+02 3.389210937500000000e+03
8.000000715255737305e-01 1.460009670257568359e+01 4.861757812500000000e+02 1.037225488281250000e+04
9.000000953674316406e-01 1.332097530364990234e+01 3.875494689941406250e+02 7.986357421875000000e+03
9.000000953674316406e-01 6.445494651794433594e+00 1.730854187011718750e+02 1.675743652343750000e+03
9.000000953674316406e-01 1.634472465515136719e+01 4.822155456542968750e+02 1.233598339843750000e+04
3.000000119209289551e-01 1.359240722656250000e+01 7.468611450195312500e+02 1.355014746093750000e+04
3.000000119209289551e-01 1.198254203796386719e+01 6.614576416015625000e+02 1.036437988281250000e+04
3.000000119209289551e-01 6.730070114135742188e+00 3.772541503906250000e+02 3.380327148437500000e+03
1.000000014901161194e-01 5.839865207672119141e+00 3.983049926757812500e+02 3.181051757812500000e+03
5.000000000000000000e-01 1.050209140777587891e+01 4.820102233886718750e+02 6.960814453125000000e+03
4.000000059604644775e-01 1.237953090667724609e+01 6.234805908203125000e+02 1.016671777343750000e+04
1.000000014901161194e-01 1.157940673828125000e+01 7.578522338867187500e+02 1.152918652343750000e+04
5.000000000000000000e-01 8.403427124023437500e+00 3.852553100585937500e+02 4.399356445312500000e+03
1.000000014901161194e-01 1.707838439941406250e+01 1.104546630859375000e+03 2.426157031250000000e+04
1.000000119209289551e+00 1.693174743652343750e+01 4.370196838378906250e+02 1.228104199218750000e+04
1.000000119209289551e+00 1.648445320129394531e+01 4.245294189453125000e+02 1.154747167968750000e+04
9.000000953674316406e-01 9.045657157897949219e+00 2.554779968261718750e+02 3.427379882812500000e+03
7.000000476837158203e-01 9.843900680541992188e+00 3.634751281738281250e+02 5.092374023437500000e+03
9.000000953674316406e-01 8.957304000854492188e+00 2.511704711914062500e+02 3.395776367187500000e+03
7.000000476837158203e-01 1.112749385833740234e+01 4.111024169921875000e+02 6.600866210937500000e+03
1.000000014901161194e-01 7.943476200103759766e+00 5.316383666992187500e+02 5.723135742187500000e+03
6.000000238418579102e-01 1.498380279541015625e+01 6.214144287109375000e+02 1.305505566406250000e+04
4.000000059604644775e-01 1.004784297943115234e+01 5.078384399414062500e+02 6.935108398437500000e+03
6.000000238418579102e-01 1.534720706939697266e+01 6.367050781250000000e+02 1.372040917968750000e+04
5.000000000000000000e-01 7.595675468444824219e+00 3.482705383300781250e+02 3.482580078125000000e+03
2.000000029802322388e-01 1.352975368499755859e+01 8.101483154296875000e+02 1.451157910156250000e+04
0.000000000000000000e+00 0.000000000000000000e+00 6.851831054687500000e+02 6.058977539062500000e+03
2.000000029802322388e-01 1.525913429260253906e+01 9.105722045898437500e+02 1.835998437500000000e+04
1.000000119209289551e+00 1.210294151306152344e+01 3.029466552734375000e+02 6.076231445312500000e+03
0.000000000000000000e+00 1.043768882751464844e+00 1.287295898437500000e+03 2.171624218750000000e+04
6.000000238418579102e-01 1.654311561584472656e+01 6.870244750976562500e+02 1.590999121093750000e+04
2.000000029802322388e-01 7.361245155334472656e+00 4.529952392578125000e+02 4.473873046875000000e+03
4.000000059604644775e-01 1.541577243804931641e+01 7.756867675781250000e+02 1.605554980468750000e+04
7.000000476837158203e-01 1.656235313415527344e+01 6.209947509765625000e+02 1.485671582031250000e+04
1.000000119209289551e+00 1.439892005920410156e+01 3.662072143554687500e+02 8.577257812500000000e+03
0.000000000000000000e+00 0.000000000000000000e+00 9.396696777343750000e+02 1.111419824218750000e+04
7.000000476837158203e-01 1.570405101776123047e+01 5.868435058593750000e+02 1.331173339843750000e+04
7.000000476837158203e-01 1.072154903411865234e+01 3.955139160156250000e+02 6.119063476562500000e+03
2.000000029802322388e-01 9.364408493041992188e+00 5.678084106445312500e+02 7.147857421875000000e+03
4.000000059604644775e-01 7.665691852569580078e+00 3.894270324707031250e+02 3.985127929687500000e+03
3.000000119209289551e-01 8.653469085693359375e+00 4.823585510253906250e+02 5.656843750000000000e+03
1.000000119209289551e+00 1.279697513580322266e+01 3.224132080078125000e+02 6.835339843750000000e+03
8.000000715255737305e-01 1.499657249450683594e+01 4.991242370605468750e+02 1.104779980468750000e+04
4.000000059604644775e-01 9.461449623107910156e+00 4.773961486816406250e+02 6.167872070312500000e+03
1.000000014901161194e-01 1.318203544616699219e+01 8.582470703125000000e+02 1.515798144531250000e+04
1.000000014901161194e-01 7.406644821166992188e+00 4.964542236328125000e+02 4.935332031250000000e+03
7.000000476837158203e-01 1.466035842895507812e+01 5.467655029296875000e+02 1.145259082031250000e+04
1.000000119209289551e+00 8.444606781005859375e+00 1.995587463378906250e+02 2.679725585937500000e+03
1.000000119209289551e+00 1.210667324066162109e+01 3.021976623535156250e+02 6.072635742187500000e+03
9.000000953674316406e-01 7.788206577301025391e+00 2.152014007568359375e+02 2.519227539062500000e+03
5.000000000000000000e-01 1.426992130279541016e+01 6.541593017578125000e+02 1.278179199218750000e+04
4.000000059604644775e-01 7.561432838439941406e+00 3.831175842285156250e+02 3.854499023437500000e+03
7.000000476837158203e-01 6.839927673339843750e+00 2.464585113525390625e+02 2.344009765625000000e+03
3.000000119209289551e-01 5.731734275817871094e+00 3.233771057128906250e+02 2.427574218750000000e+03
3.000000119209289551e-01 7.588457107543945312e+00 4.249158325195312500e+02 4.329151367187500000e+03
3.000000119209289551e-01 1.157872772216796875e+01 6.400485229492187500e+02 9.565451171875000000e+03
2.000000029802322388e-01 1.339347267150878906e+01 8.047100830078125000e+02 1.426605175781250000e+04
1.000000014901161194e-01 1.011517906188964844e+01 6.661272583007812500e+02 8.788124023437500000e+03
6.000000238418579102e-01 1.528476333618164062e+01 6.341123657226562500e+02 1.360654980468750000e+04
5.000000000000000000e-01 7.295004367828369141e+00 3.330347290039062500e+02 3.339395507812500000e+03
6.000000238418579102e-01 1.428963184356689453e+01 5.922062377929687500e+02 1.178410253906250000e+04
7.000000476837158203e-01 1.039786815643310547e+01 3.830845336914062500e+02 5.734899414062500000e+03
2.000000029802322388e-01 1.153867340087890625e+01 6.958145751953125000e+02 1.045399218750000000e+04
2.000000029802322388e-01 8.074274063110351562e+00 4.928835144042968750e+02 5.388367187500000000e+03
5.000000000000000000e-01 6.039030551910400391e+00 2.754291381835937500e+02 2.192227539062500000e+03
0.000000000000000000e+00 0.000000000000000000e+00 1.206958251953125000e+03 1.865519921875000000e+04
1.000000014901161194e-01 1.495257091522216797e+01 9.691602783203125000e+02 1.927551171875000000e+04
9.000000953674316406e-01 1.349864959716796875e+01 3.931120300292968750e+02 8.185898437500000000e+03
8.000000715255737305e-01 1.409117603302001953e+01 4.676010131835937500e+02 9.478761718750000000e+03
8.000000715255737305e-01 8.655540466308593750e+00 2.783495788574218750e+02 3.425245117187500000e+03
5.000000000000000000e-01 1.009647846221923828e+01 4.615251464843750000e+02 6.435256835937500000e+03
0.000000000000000000e+00 0.000000000000000000e+00 1.334075439453125000e+03 2.243154296875000000e+04
5.000000000000000000e-01 1.707973861694335938e+01 7.830394287109375000e+02 1.806995703125000000e+04
1.000000119209289551e+00 1.014073657989501953e+01 2.477128601074218750e+02 4.036883789062500000e+03
3.000000119209289551e-01 1.540709209442138672e+01 8.446250000000000000e+02 1.716139062500000000e+04
1.000000014901161194e-01 1.125058460235595703e+01 7.372535400390625000e+02 1.083593066406250000e+04
5.000000000000000000e-01 1.393802547454833984e+01 6.398107299804687500e+02 1.216895605468750000e+04
2.000000029802322388e-01 1.603311538696289062e+01 9.555773925781250000e+02 2.009356250000000000e+04
8.000000715255737305e-01 6.154528141021728516e+00 1.912722320556640625e+02 1.685080078125000000e+03
7.000000476837158203e-01 1.152611064910888672e+01 4.264094848632812500e+02 7.073967773437500000e+03
2.000000029802322388e-01 7.857403755187988281e+00 4.807232360839843750e+02 5.094632812500000000e+03
5.000000000000000000e-01 1.055631446838378906e+01 4.827348937988281250e+02 7.012961914062500000e+03
4.000000059604644775e-01 8.537418365478515625e+00 4.318190917968750000e+02 4.980396484375000000e+03
3.000000119209289551e-01 1.029442024230957031e+01 5.691862182617187500e+02 7.818596679687500000e+03
5.000000000000000000e-01 1.321184253692626953e+01 6.044119873046875000e+02 1.077405957031250000e+04
2.000000029802322388e-01 1.084088611602783203e+01 6.536619873046875000e+02 9.156211914062500000e+03
6.000000238418579102e-01 1.279475116729736328e+01 5.293070068359375000e+02 9.186788085937500000e+03
8.000000715255737305e-01 1.403584194183349609e+01 4.675014038085937500e+02 9.416072265625000000e+03
2.000000029802322388e-01 1.067459201812744141e+01 6.454253540039062500e+02 8.948429687500000000e+03
3.000000119209289551e-01 1.038183784484863281e+01 5.755940551757812500e+02 7.949786132812500000e+03
1.000000119209289551e+00 1.610070800781250000e+01 4.128233032226562500e+02 1.090476464843750000e+04
1.000000014901161194e-01 6.327019214630126953e+00 4.298532409667968750e+02 3.529245117187500000e+03
2.000000029802322388e-01 1.160045433044433594e+01 6.978291015625000000e+02 1.055921386718750000e+04
4.000000059604644775e-01 1.731631278991699219e+01 8.703924560546875000e+02 1.973401562500000000e+04
6.000000238418579102e-01 1.242187118530273438e+01 5.136175537109375000e+02 8.736324218750000000e+03
3.000000119209289551e-01 1.673111152648925781e+01 9.159548339843750000e+02 1.998236328125000000e+04
9.000000953674316406e-01 1.247516250610351562e+01 3.610693054199218750e+02 7.036446289062500000e+03
1.000000119209289551e+00 1.256706809997558594e+01 3.143920593261718750e+02 6.569733398437500000e+03
8.000000715255737305e-01 8.543670654296875000e+00 2.744546508789062500e+02 3.389049804687500000e+03
1.000000119209289551e+00 6.172381401062011719e+00 1.362646789550781250e+02 1.566586914062500000e+03
8.000000715255737305e-01 1.141879653930664062e+01 3.746940002441406250e+02 6.394297851562500000e+03
