C vs ms_10,C vs closed,ms_1 vs closed
-1.1539572477340698,-0.28361118234878946,-0.0888311902452128
-1.0864869356155396,-0.26393974222427774,-0.09750891126877237
-1.3249759674072266,-0.25441432394272256,-0.12122404970413614
-1.1264939308166504,-0.26020253099686075,-0.12418091692215372
-1.1989041566848755,-0.2528408805299418,-0.1398396531510966
-1.0750865936279297,-0.26552760996109415,-0.1603091994691508
-1.0690094232559204,-0.1949623862672465,-0.10215390123611856
-1.0027809143066406,-0.19818103708511758,-0.08148897089249063
-1.2035088539123535,-0.23407674230820108,-0.1444785634446757
-1.2699896097183228,-0.2017062941957133,-0.14780068792587686
-1.1366498470306396,-0.24496150411850381,-0.10815942682510782
-1.1426931619644165,-0.20634794630295206,-0.114244584219517
-1.0785245895385742,-0.21215820707565713,-0.09207988180405069
-1.2531682252883911,-0.23695755399948526,-0.14846790231949258
-1.3056273460388184,-0.22332525648361612,-0.10689938463455606
-1.1880919933319092,-0.2078936139512675,-0.15715361036545206
-1.1113479137420654,-0.22301447786575723,-0.1267102996278422
-1.2347259521484375,-0.23701501287704874,-0.14707529939896036
-1.0925700664520264,-0.20001876749283243,-0.09341907896286417
-1.1443926095962524,-0.23275006212479044,-0.1571816245484965
-1.1530284881591797,-0.2045451442170756,-0.16368019975906778
-1.1741210222244263,-0.23958647646194864,-0.1525601188111918
-1.1684144735336304,-0.2738374511171,-0.11050582327133585
-1.1879757642745972,-0.15547931589371133,-0.10497248567825723
-1.131150245666504,-0.231667999403538,-0.16859317220932413
-1.1594406366348267,-0.19628250993973184,-0.09904432691818643
-1.2255377769470215,-0.24733567632919717,-0.09051323332077432
-1.0983039140701294,-0.26459145941025186,-0.12872839369064737
-1.2217220067977905,-0.20387113489395547,-0.12912488378769327
-1.2278302907943726,-0.2335591355729716,-0.12231207288986612
-1.1782691478729248,-0.21043205656296182,-0.08624172605759073
-1.104161024093628,-0.24519777693039346,-0.09918928541428018
-1.1060829162597656,-0.1695046464372294,-0.12347233690506387
-1.1847317218780518,-0.2247090379167216,-0.07678807176834512
-1.1657260656356812,-0.14635813631302286,-0.17581093706375528
-1.2130485773086548,-0.21771073736435342,-0.12239706911331583
-1.1543786525726318,-0.277192000525059,-0.0692091027665751
-1.2139850854873657,-0.2755612174440043,-0.14922190107590128
-1.1508643627166748,-0.2356824914384501,-0.14635956682449747
-1.0808459520339966,-0.26852000154739786,-0.11825323499924112
-1.0870026350021362,-0.22560608782059122,-0.08820236124283243
-1.1809216737747192,-0.24838710226303506,-0.14504099287277628
-1.1003674268722534,-0.2177153865266459,-0.13863158621078897
-1.1782655715942383,-0.23120081819778848,-0.11940026678329874
-1.0887885093688965,-0.17406392492538858,-0.12432063020950723
-1.14140784740448,-0.2620245257783549,-0.183741335051121
-1.1031359434127808,-0.19586658872848917,-0.13417172827011514
-1.1057265996932983,-0.2604419032502787,-0.162806276457371
-1.107421636581421,-0.2512288133073466,-0.15064776338821817
-1.161130428314209,-0.18862629331833292,-0.0965901652742045
